RuleType;Explanation;RuleID;Severity;Title
Error Prone;Using a branching statement as the last part of a loop may be a bug, and/or is confusing;PMD_ABSALIL;Major;Avoid Branching Statement As Last In Loop
Error Prone;"One might assume that the result of ""new BigDecimal(0.1)"" is exactly equal to 0.1, but it is not because 0.1 cannot be represented exactly as a double (or as a binary fraction of any finite length)";PMD_ADLIBDC;Critical;Avoid Decimal Literals In Big Decimal Constructor
Error Prone;Avoid Multiple Unary Operators;PMD_AMUO;Major;Avoid Multiple Unary Operators
Multithreading;Avoid using java.lang.ThreadGroup. Although it is intended to be used in a threaded environment it contains methods that are not thread-safe;PMD_ATG;Critical;Avoid Thread Group
Best Practices;Application with hard-coded IP addresses can become impossible to deploy in some cases. Externalizing IP adresses is preferable;PMD_AUHCIP;Major;Avoid Using Hard Coded IP
Error Prone;Integer literals should not start with zero since this denotes that the rest of literal will be interpreted as an octal value;PMD_AUOV;Critical;Avoid Using Octal Values
Performance;Don’t create instances of already existing BigInteger;PMD_BII;Major;Big Integer Instantiation
Performance;Avoid instantiating Boolean objects;PMD_BI;Minor;Boolean Instantiation
Error Prone;The null check is broken since it will throw a NullPointerException itself;PMD_BNC;Critical;Broken Null Check
Best Practices;Always check the return values of navigation methods (next, previous, first, last) of a ResultSet. If the value return is ‘false’, it should be handled properly;PMD_CRS;Critical;Check Result Set
Error Prone;The skip() method may skip a smaller number of bytes than requested;PMD_CSR;Critical;Check Skip Result
Error Prone;When deriving an array of a specific class from your Collection, one should provide an array of the same class as the parameter of the toArray() method. Doing otherwise you will will result in a ClassCastException;PMD_CCEWTA;Critical;Class Cast Exception With To Array
Design;Sometimes two consecutive ‘if’ statements can be consolidated by separating their conditions with a boolean short-circuit operator;PMD_CIS;Minor;Collapsible If Statements
Multithreading;Explicitly calling Thread.run() method will execute in the caller’s thread of control. Instead, call Thread.start() for the intended behavior;Critical;Explicitly calling Thread.run()
Error Prone;Don’t use floating point for loop indices;PMD_DUFTFLI;Critical;Dont Use Float Type For Loop Indices
Multithreading;Partially created objects can be returned by the Double Checked Locking pattern when used in Java;PMD_DCL;Critical;Double Checked Locking
Error Prone;Empty Catch Block finds instances where an exception is caught, but nothing is done;PMD_ECB;Critical;Empty Catch Block
Error Prone;Empty finally blocks serve no purpose and should be removed;PMD_EFB;Minor;Empty Finally Block
Error Prone;Empty If Statement finds instances where a condition is checked but nothing is done about it;PMD_EIS;Major;Empty If Stmt
Error Prone;Empty block statements serve no purpose and should be removed.;PMD_EmSB;Minor;Empty Statement Block
Error Prone;An empty statement (or a semicolon by itself) that is not used as the sole body of a ‘for’ or ‘while’ loop is probably a bug;PMD_ESNIL;Minor;Empty Statement Not In Loop
Error Prone;Empty initializers serve no purpose and should be removed;PMD_ESI;Minor;Empty Static Initializer
Error Prone;Empty switch statements serve no purpose and should be removed;PMD_ESS;Major;Empty Switch Statements
Error Prone;Empty synchronized blocks serve no purpose and should be removed;PMD_ESB;Major;Empty Synchronized Block
Error Prone;Avoid empty try blocks - what’s the point?;PMD_ETB;Major;Empty Try Block
Error Prone;Empty While Statement finds all instances where a while statement does nothing.If it is a timing loop, then you should use Thread.sleep() for it;PMD_EWS;Critical;Empty While Stmt
Code Style;No need to explicitly extend Object;PMD_EO;Minor;Extends Object
Code Style;Some for loops can be simplified to while loops, this makes them more concise;PMD_FLSBWL;Minor;For Loop Should Be While Loop
Error Prone;Avoid jumbled loop incrementers - its usually a mistake, and is confusing even if intentional;PMD_JI;Critical;Jumbled Incrementer
Error Prone;"The null check here is misplaced. If the variable is null a NullPointerException will be thrown. Either the check is useless (the variable will never be ""null"") or it is incorrect";PMD_MNC;Critical;Misplaced Null Check
Error Prone;Override both public boolean Object.equals(Object other), and public int Object.hashCode(), or override neither;PMD_OBEAH;Critical;Override Both Equals And Hashcode
Error Prone;Avoid returning from a finally block, this can discard exceptions;PMD_RFFB;Critical;Return From Finally Block
Error Prone;"Do not use ""if"" statements whose conditionals are always true or always false";PMD_UIS;Major;Unconditional If Statement
